id,loja,setor,data,vendas_semanais,feriado
140679,17,93,01-07,6283.0,nao
140680,12,17,01-07,10006.77,nao
140681,3,25,01-07,2658.57,nao
140682,42,1,01-07,8836.0,nao
140683,26,9,01-07,9526.27,nao
140684,5,60,01-07,237.6,nao
140685,34,72,01-07,36338.44,nao
140686,21,16,01-07,1141.16,nao
140687,21,17,01-07,6121.96,nao
140688,2,36,01-07,766.0,nao
140689,41,31,01-07,2162.75,nao
140690,9,60,01-07,52.8,nao
140691,21,8,01-07,17605.97,nao
140692,26,87,01-07,,nao
140693,10,52,01-07,3687.94,nao
140694,15,85,01-07,2378.5,nao
140695,5,8,01-07,13859.84,nao
140696,17,16,01-07,1641.25,nao
140697,44,16,01-07,858012.5326362466,nao
140698,34,21,01-07,4137.27,nao
140699,23,31,01-07,3444.2,nao
140700,16,87,01-07,9436.67,nao
140701,17,4,01-07,39775.45,nao
140702,39,46,01-07,28979.37,nao
140703,39,80,01-07,10158.47,nao
140704,42,2,01-07,15108.85,nao
140705,43,7,01-07,261.38,nao
140706,10,12,01-07,6674.82,nao
140707,23,32,01-07,,nao
140708,29,91,01-07,5147.63,nao
140709,31,32,01-07,3345.74,nao
140710,42,92,01-07,99017.14,nao
140711,38,42,01-07,70.97,nao
140712,42,96,01-07,11474.38,nao
140713,10,37,01-07,4331.0,nao
140714,6,8,01-07,46449.36,nao
140715,34,71,01-07,972583.8568557801,nao
140716,26,71,01-07,2507.82,nao
140717,40,11,01-07,11663.4,nao
140718,35,42,01-07,6206.25,nao
140719,15,83,01-07,413.64,nao
140720,5,74,01-07,4126.02,nao
140721,31,79,01-07,43776.42,nao
140722,31,41,01-07,685.75,nao
140723,41,46,01-07,24458.81,nao
140724,10,18,01-07,7654.91,nao
140725,45,91,01-07,16962.36,nao
140726,8,8,01-07,26653.81,nao
140727,41,55,01-07,9619.99,nao
140728,34,32,01-07,3755.37,nao
140729,41,24,01-07,3032.64,nao
140730,10,13,01-07,64917.14,nao
140731,34,97,01-07,16414.54,nao
140732,38,3,01-07,380.15,nao
140733,17,14,01-07,29555.43,nao
140734,31,80,01-07,17921.86,nao
140735,31,22,01-07,7384.29,nao
140736,45,24,01-07,2517.01,nao
140737,22,91,01-07,24868.22,nao
140738,27,83,01-07,826009.9101452233,nao
140739,13,56,01-07,986941.2182381564,nao
140740,21,9,01-07,9750.96,nao
140741,40,14,01-07,10733.25,nao
140742,17,48,01-07,414.0,nao
140743,40,24,01-07,,nao
140744,17,49,01-07,-17.97,nao
140745,21,52,01-07,1828.8,nao
140746,8,25,01-07,4522.93,nao
140747,20,91,01-07,,nao
140748,30,31,01-07,24.0,nao
140749,16,81,01-07,4412.81,nao
140750,20,92,01-07,165284.7,nao
140751,38,33,01-07,6.97,nao
140752,13,38,01-07,84526.07,nao
140753,17,60,01-07,510.4,nao
140754,10,23,01-07,54281.23,nao
140755,21,91,01-07,7093.16,nao
140756,2,93,01-07,67470.03,nao
140757,26,67,01-07,3836.03,nao
140758,44,82,01-07,2888.09,nao
140759,15,94,01-07,-5.98,nao
140760,30,3,01-07,686.61,nao
140761,5,96,01-07,,nao
140762,41,54,01-07,-5.0,nao
140763,21,49,01-07,10797.2,nao
140764,26,72,01-07,41718.81,nao
140765,4,6,01-07,4760.8,nao
140766,26,29,01-07,2075.5,nao
140767,9,31,01-07,965.48,nao
140768,31,40,01-07,56955.23,nao
140769,21,18,01-07,2839.27,nao
140770,10,24,01-07,,nao
140771,23,58,01-07,3606.0,nao
140772,1,49,01-07,12627.13,nao
140773,7,41,01-07,1159.46,nao
140774,5,55,01-07,2968.56,nao
140775,27,72,01-07,68934.47,nao
140776,41,94,01-07,42380.39,nao
140777,23,9,01-07,23410.53,nao
140778,41,52,01-07,,nao
140779,27,85,01-07,3771.27,nao
140780,39,82,01-07,17014.39,nao
140781,23,40,01-07,58638.29,nao
140782,30,46,01-07,6596.58,nao
140783,15,50,01-07,1305.0,nao
140784,2,67,01-07,6967.12,nao
140785,23,8,01-07,885015.3543168036,nao
140786,2,29,01-07,972022.1352020858,nao
140787,41,29,01-07,3685.5,nao
140788,12,31,01-07,3834.42,nao
140789,13,22,01-07,15946.1,nao
140790,39,74,01-07,,nao
140791,12,5,01-07,27822.16,nao
140792,40,31,01-07,,nao
140793,13,44,01-07,8741.16,nao
140794,37,93,01-07,841416.2731844943,nao
140795,34,74,01-07,10498.14,nao
140796,34,37,01-07,,nao
140797,36,60,01-07,70.4,nao
140798,26,25,01-07,,nao
140799,27,80,01-07,25117.89,nao
140800,31,34,01-07,11160.81,nao
140801,38,28,01-07,76.56,nao
140802,41,23,01-07,14446.23,nao
140803,1,12,01-07,8022.82,nao
140804,23,36,01-07,1934.0,nao
140805,40,6,01-07,2676.1,nao
140806,28,6,01-07,3722.41,nao
140807,17,98,01-07,2.75,nao
140808,30,40,01-07,25817.29,nao
140809,15,91,01-07,4022.98,nao
140810,4,20,01-07,6279.58,nao
140811,4,37,01-07,861441.3295421454,nao
140812,13,59,01-07,3229.27,nao
140813,40,32,01-07,4049.88,nao
140814,38,7,01-07,197.76,nao
140815,1,30,01-07,2785.92,nao
140816,23,4,01-07,,nao
140817,39,79,01-07,33905.95,nao
140818,7,46,01-07,,nao
