loja,data,temperatura,combustivel,desconto_1,desconto_2,desconto_3,desconto_4,desconto_5,desemprego,feriado,distancia_competidores,clientes
4,01-07,4.077777777777779,2.98,,,,,,0.06509999999999999,nao,,216
32,01-07,,,,,,,,0.08818,nao,,3
1,01-07,9.038888888888891,2.976,,,,,,0.07742,nao,,160
7,01-07,,,,,,,,0.08818,nao,,739
43,01-07,4.705555555555555,,,,,,,0.10398,nao,,998
36,01-07,12.283333333333333,,,,,,,0.08395,nao,,781
28,01-07,,,,,,,,0.14021,nao,,120
33,01-07,7.916666666666667,,,,,,,0.08951,nao,,893
6,01-07,8.766666666666667,2.976,,,,,,0.06858,nao,,89
21,01-07,,2.976,,,,,,0.08028,nao,,329
24,01-07,-0.7111111111111117,3.351,,,,,,0.08252000000000001,nao,,580
2,01-07,7.049999999999999,2.976,,,,,,0.08028,nao,,910
23,01-07,-2.3277777777777784,3.193,,,,,,0.05114,nao,,357
45,01-07,,3.193,,,,,,0.08549,nao,,610
38,01-07,,,,,,,,0.14021,nao,,267
13,01-07,,2.891,,,,,,0.0747,nao,,617
15,01-07,,,,,,,,0.07771,nao,,952
20,01-07,-0.3166666666666668,,,,,,,0.07343,nao,,323
40,01-07,,3.193,,,,,,0.05114,nao,,635
41,01-07,,,,,,,,0.07241,nao,,988
17,01-07,-14.316666666666666,2.891,,,,,,0.06866,nao,,541
35,01-07,1.3444444444444454,3.193,,,,,,0.08549,nao,,649
39,01-07,11.522222222222224,2.976,,,,,,0.08395,nao,,195
37,01-07,12.283333333333333,,,,,,,0.08395,nao,,921
25,01-07,-1.6666666666666667,,,,,,,0.07343,nao,,738
11,01-07,12.461111111111112,2.976,,,,,,0.07551000000000001,nao,,332
22,01-07,,3.193,,,,,,0.08458,nao,,170
27,01-07,,,,,,,,0.07827,nao,,521
12,01-07,3.1333333333333337,3.287,,,,,,0.14021,nao,,463
5,01-07,9.055555555555554,,,,,,,0.06634000000000001,nao,,40
31,01-07,6.800000000000001,2.976,,,,,,0.08028,nao,,537
8,01-07,,2.976,,,,,,0.06262,nao,,261
34,01-07,-4.166666666666667,2.98,,,,,,0.10398,nao,,395
14,01-07,,3.193,,,,,,0.08549,nao,,955
16,01-07,-10.894444444444444,,,,,,,0.06614,nao,,226
30,01-07,,2.976,,,,,,0.08028,nao,,984
26,01-07,-6.03888888888889,3.193,,,,,,0.07907,nao,,124
44,01-07,,2.891,,,,,,0.07224,nao,,975
18,01-07,-1.0555555555555547,,,,,,,0.09131,nao,,38
19,01-07,-0.36666666666666675,,,,,,,0.07771,nao,,328
10,01-07,6.35,,,,,,,0.08744,nao,,251
3,01-07,11.86111111111111,,,,,,,0.07551000000000001,nao,,901
42,01-07,,,,,,,,0.08744,nao,,176
9,01-07,,,,,,,,0.06416000000000001,nao,,602
29,01-07,,3.193,,,,,,0.10256,nao,,914
43,01-14,6.3611111111111125,2.983,,,,,,0.10398,nao,,454
27,01-14,-3.5000000000000004,,,,,,,0.07827,nao,,37
36,01-14,6.038888888888888,2.971,,,,,,0.08395,nao,,316
26,01-14,-8.5,3.215,,,,,,0.07907,nao,,688
19,01-14,-5.733333333333333,3.367,,,,,,0.07771,nao,,973
6,01-14,3.5388888888888874,,,,,,,0.06858,nao,,796
42,01-14,9.988888888888887,3.312,,,,,,0.08744,nao,,965
40,01-14,,,,,,,,0.05114,nao,,973
31,01-14,,2.983,,,,,,0.08028,nao,,593
35,01-14,-3.5000000000000004,3.205,,,,,,0.08549,nao,,114
10,01-14,9.988888888888887,3.312,,,,,,0.08744,nao,,40
13,01-14,-6.333333333333332,2.903,,,,,,0.0747,nao,,301
24,01-14,-5.327777777777778,,,,,,,0.08252000000000001,nao,,224
17,01-14,-8.572222222222223,2.903,,,,,,0.06866,nao,,318
22,01-14,-4.022222222222221,3.215,,,,,,0.08458,nao,,349
33,01-14,,3.312,,,,,,0.08951,nao,,115
5,01-14,3.18888888888889,2.983,,,,,,0.06634000000000001,nao,,698
37,01-14,,2.983,,,,,,0.08395,nao,,323
16,01-14,-8.077777777777776,,,,,,,0.06614,nao,,568
9,01-14,2.461111111111111,,,,,,,0.06416000000000001,nao,,40
3,01-14,,,,,,,,0.07551000000000001,nao,,866
18,01-14,,3.215,,,,,,0.09131,nao,,40
44,01-14,,2.903,,,,,,0.07224,nao,,859
8,01-14,-0.21111111111111056,2.983,,,,,,0.06262,nao,,973
12,01-14,6.194444444444444,3.312,,,,,,0.14021,nao,,749
11,01-14,7.411111111111113,,,,,,,0.07551000000000001,nao,,289
1,01-14,,2.983,,,,,,0.07742,nao,,262
28,01-14,6.194444444444444,,,,,,,0.14021,nao,,216
21,01-14,,,,,,,,0.08028,nao,,147
7,01-14,,,,,,,,0.08818,nao,,336
14,01-14,-4.01111111111111,,,,,,,0.08549,nao,,168
20,01-14,-6.449999999999999,,,,,,,0.07343,nao,,92
4,01-14,-0.22222222222222143,2.992,,,,,,0.06509999999999999,nao,,353
25,01-14,-7.611111111111111,,,,,,,0.07343,nao,,571
30,01-14,1.188888888888889,2.983,,,,,,0.08028,nao,,571
34,01-14,,,,,,,,0.10398,nao,,816
32,01-14,-5.727777777777778,,,,,,,0.08818,nao,,681
38,01-14,,,,,,,,0.14021,nao,,781
45,01-14,-4.01111111111111,3.205,,,,,,0.08549,nao,,363
2,01-14,0.5666666666666684,2.983,,,,,,0.08028,nao,,557
29,01-14,,,,,,,,0.10256,nao,,345
41,01-14,-5.311111111111111,,,,,,,0.07241,nao,,693
15,01-14,-6.927777777777777,3.367,,,,,,0.07771,nao,,170
39,01-14,5.411111111111112,2.983,,,,,,0.08395,nao,,356
23,01-14,-7.666666666666667,3.215,,,,,,0.05114,nao,,191
31,01-21,5.955555555555555,3.016,,,,,,0.08028,nao,,667
17,01-21,,2.934,,,,,,0.06866,nao,,422
34,01-21,4.205555555555556,,,,,,,0.10398,nao,,700
6,01-21,7.88888888888889,,,,,,,0.06858,nao,,7
39,01-21,10.13888888888889,,,,,,,0.08395,nao,,133
30,01-21,,,,,,,,0.08028,nao,,747
18,01-21,-5.25,3.232,,,,,,0.09131,nao,,557
44,01-21,,2.934,,,,,,0.07224,nao,,826
37,01-21,10.655555555555557,3.016,,,,,,0.08395,nao,,761
40,01-21,-9.644444444444444,3.232,,,,,,0.05114,nao,,31
1,01-21,6.688888888888888,3.016,,,,,,0.07742,nao,,535
21,01-21,5.955555555555555,3.016,,,,,,0.08028,nao,,426
20,01-21,,3.229,,,,,,0.07343,nao,,394
23,01-21,,,,,,,,0.05114,nao,,672
33,01-21,,3.336,,,,,,0.08951,nao,,363
41,01-21,0.38888888888889045,2.973,,,,,,0.07241,nao,,437
32,01-21,,2.973,,,,,,0.08818,nao,,670
24,01-21,-4.616666666666666,,,,,,,0.08252000000000001,nao,,551
5,01-21,,3.016,,,,,,0.06634000000000001,nao,,927
19,01-21,-5.111111111111111,,,,,,,0.07771,nao,,82
42,01-21,13.75,3.336,,,,,,0.08744,nao,,356
16,01-21,-1.8888888888888882,2.973,,,,,,0.06614,nao,,258
25,01-21,-4.883333333333333,3.229,,,,,,0.07343,nao,,718
29,01-21,-2.8888888888888884,3.232,,,,,,0.10256,nao,,589
36,01-21,10.655555555555557,2.98,,,,,,0.08395,nao,,989
38,01-21,11.961111111111112,3.223,,,,,,0.14021,nao,,524
45,01-21,-0.8055555555555551,3.229,,,,,,0.08549,nao,,295
4,01-21,3.522222222222224,,,,,,,0.06509999999999999,nao,,962
15,01-21,,3.391,,,,,,0.07771,nao,,224
13,01-21,,2.934,,,,,,0.0747,nao,,525
26,01-21,-10.566666666666666,3.232,,,,,,0.07907,nao,,46
2,01-21,,3.016,,,,,,0.08028,nao,,667
7,01-21,,2.973,,,,,,0.08818,nao,,113
43,01-21,11.694444444444443,,,,,,,0.10398,nao,,233
28,01-21,,,,,,,,0.14021,nao,,17
22,01-21,,,,,,,,0.08458,nao,,360
3,01-21,,3.016,,,,,,0.07551000000000001,nao,,223
35,01-21,-1.0388888888888894,3.229,,,,,,0.08549,nao,,866
12,01-21,11.961111111111112,3.223,,,,,,0.14021,nao,,700
14,01-21,-0.8055555555555551,3.229,,,,,,0.08549,nao,,448
11,01-21,10.838888888888887,,,,,,,0.07551000000000001,nao,,856
8,01-21,5.58888888888889,,,,,,,0.06262,nao,,365
27,01-21,-1.0388888888888894,,,,,,,0.07827,nao,,675
9,01-21,,3.016,,,,,,0.06416000000000001,nao,,326
10,01-21,13.75,,,,,,,0.08744,nao,,467
30,01-28,,3.01,,,,,,0.08028,nao,,414
37,01-28,9.300000000000002,,,,,,,0.08395,nao,,455
38,01-28,10.411111111111113,3.342,,,,,,0.14021,nao,,586
32,01-28,1.5888888888888886,3.008,,,,,,0.08818,nao,,233
14,01-28,-4.416666666666667,,,,,,,0.08549,nao,,224
23,01-28,-11.716666666666667,,,,,,,0.05114,nao,,994
10,01-28,,,,,,,,0.08744,nao,,831
18,01-28,-9.533333333333333,,,,,,,0.09131,nao,,412
24,01-28,-7.827777777777778,,,,,,,0.08252000000000001,nao,,572
43,01-28,7.211111111111109,3.01,,,,,,0.10398,nao,,335
26,01-28,-14.700000000000001,3.243,,,,,,0.07907,nao,,222
40,01-28,,,,,,,,0.05114,nao,,37
9,01-28,,3.01,,,,,,0.06416000000000001,nao,,989
1,01-28,6.572222222222221,3.01,,,,,,0.07742,nao,,278
39,01-28,8.855555555555554,,,,,,,0.08395,nao,,196
28,01-28,,3.342,,,,,,0.14021,nao,,916
6,01-28,,3.01,,,,,,0.06858,nao,,864
31,01-28,,3.01,,,,,,0.08028,nao,,484
22,01-28,,3.243,,,,,,0.08458,nao,,242
36,01-28,9.300000000000002,,,,,,,0.08395,nao,,324
7,01-28,,3.008,,,,,,0.08818,nao,,731
3,01-28,9.283333333333335,,,,,,,0.07551000000000001,nao,,192
8,01-28,4.033333333333332,,,,,,,0.06262,nao,,17
11,01-28,10.577777777777776,,,,,,,0.07551000000000001,nao,,524
16,01-28,,3.008,,,,,,0.06614,nao,,918
12,01-28,,3.342,,,,,,0.14021,nao,,401
25,01-28,-7.266666666666666,3.237,,,,,,0.07343,nao,,906
17,01-28,-5.466666666666667,2.96,,,,,,0.06866,nao,,886
15,01-28,-6.883333333333334,,,,,,,0.07771,nao,,705
34,01-28,1.4888888888888887,3.022,,,,,,0.10398,nao,,22
27,01-28,,3.402,,,,,,0.07827,nao,,474
2,01-28,,,,,,,,0.08028,nao,,120
4,01-28,4.777777777777779,,,,,,,0.06509999999999999,nao,,210
44,01-28,,,,,,,,0.07224,nao,,306
19,01-28,,3.402,,,,,,0.07771,nao,,270
42,01-28,11.683333333333334,3.231,,,,,,0.08744,nao,,704
5,01-28,6.944444444444445,3.01,,,,,,0.06634000000000001,nao,,687
35,01-28,-4.644444444444444,3.237,,,,,,0.08549,nao,,285
21,01-28,6.688888888888888,3.01,,,,,,0.08028,nao,,716
20,01-28,-4.883333333333333,,,,,,,0.07343,nao,,676
33,01-28,13.677777777777777,3.231,,,,,,0.08951,nao,,763
41,01-28,0.12777777777777605,,,,,,,0.07241,nao,,227
45,01-28,,,,,,,,0.08549,nao,,948
29,01-28,,3.243,,,,,,0.10256,nao,,381
13,01-28,,2.96,,,,,,0.0747,nao,,460
29,02-04,-3.1166666666666663,3.24,,,,,,0.10256,nao,,7
3,02-04,7.750000000000002,,,,,,,0.07551000000000001,nao,,29
28,02-04,,3.348,,,,,,0.14021,nao,,907
38,02-04,7.300000000000001,3.348,,,,,,0.14021,nao,,33
4,02-04,1.4499999999999997,2.996,,,,,,0.06509999999999999,nao,,646
16,02-04,,3.011,,,,,,0.06614,nao,,879
2,02-04,,2.989,,,,,,0.08028,nao,,79
45,02-04,-1.8166666666666664,,,,,,,0.08549,nao,,928
30,02-04,,,,,,,,0.08028,nao,,947
7,02-04,-18.922222222222224,3.011,,,,,,0.08818,nao,,459
31,02-04,2.4055555555555546,,,,,,,0.08028,nao,,570
15,02-04,-6.283333333333333,3.4,,,,,,0.07771,nao,,983
5,02-04,,,,,,,,0.06634000000000001,nao,,538
41,02-04,,,,,,,,0.07241,nao,,482
42,02-04,,3.348,,,,,,0.08744,nao,,430
23,02-04,,3.24,,,,,,0.05114,nao,,738
20,02-04,-1.900000000000001,3.231,,,,,,0.07343,nao,,285
21,02-04,2.4055555555555546,2.989,,,,,,0.08028,nao,,516
1,02-04,5.7055555555555575,,,,,,,0.07742,nao,,977
39,02-04,,2.989,,,,,,0.08395,nao,,99
44,02-04,,,,,,,,0.07224,nao,,397
18,02-04,-6.227777777777778,,,,,,,0.09131,nao,,489
34,02-04,,,,,,,,0.10398,nao,,39
37,02-04,8.155555555555557,2.989,,,,,,0.08395,nao,,271
25,02-04,-4.477777777777778,3.231,,,,,,0.07343,nao,,887
12,02-04,,,,,,,,0.14021,nao,,797
35,02-04,-1.8333333333333337,,,,,,,0.08549,nao,,157
11,02-04,8.427777777777779,2.989,,,,,,0.07551000000000001,nao,,75
8,02-04,,2.989,,,,,,0.06262,nao,,884
9,02-04,-0.09999999999999984,2.989,,,,,,0.06416000000000001,nao,,800
14,02-04,-1.8166666666666664,3.231,,,,,,0.08549,nao,,130
32,02-04,-9.183333333333334,3.011,,,,,,0.08818,nao,,687
26,02-04,-11.572222222222221,3.24,,,,,,0.07907,nao,,974
27,02-04,-1.8333333333333337,3.4,,,,,,0.07827,nao,,84
19,02-04,-6.1000000000000005,3.4,,,,,,0.07771,nao,,22
40,02-04,,,,,,,,0.05114,nao,,459
17,02-04,-11.505555555555556,2.974,,,,,,0.06866,nao,,539
43,02-04,0.6722222222222227,2.989,,,,,,0.10398,nao,,707
6,02-04,,2.989,,,,,,0.06858,nao,,849
22,02-04,-3.1166666666666663,3.24,,,,,,0.08458,nao,,382
36,02-04,,,,,,,,0.08395,nao,,748
24,02-04,,,,,,,,0.08252000000000001,nao,,440
13,02-04,-4.8055555555555545,,,,,,,0.0747,nao,,604
10,02-04,7.155555555555556,,,,,,,0.08744,nao,,989
33,02-04,,3.348,,,,,,0.08951,nao,,21
